2020年,09月,5,限於網站設定必須選擇不同機場，請以出發地點為準。緣於covid19疫情，大部分的國際間移動措施必須受限，但華航發揮巧思，準備一日小小空服員的體驗活動，上午帶孩子認識空服員的工作，下午實際飛行至日本空域再折返。搭乘737機型故經濟艙座位沒有單獨娛樂設施。無論是餐點、設施或服務都非常貼心，感謝企劃人員與全體服務人員的照顧
2020年,03月,5,搭過冰島航空，阿聯酋，阿提哈德各家航空，還是國航服務優於其他國外地區航空，能盡力滿足乘客需求，感受到我們台灣人的親切感。
2020年,03月,5,"從小港機場出發往日本九州中南部的好選擇,價格合理.且去程和回程航班時間都很好,全家出遊可減少往返桃機舟車勞頓"
2020年,03月,5,我每一次去台灣都非常喜歡坐中華，因為時間都很準時，而且吃的飛機餐也是熱熱的，也很台灣味，未到台灣就已經吃得到台灣味道，因為很多航空公司未必再短途飛機上吃到熱食，所以大家喜歡吃熱食可以選用中華
2020年,02月,5,報到櫃台服務迅速，貴賓室略嫌壅擠，但各式食物充足，登機口中規中矩，機上空服人員細心的服務並記錄所有乘客的需求，機上餐食也是選擇多樣且美味
2020年,02月,5,從在西安機場check in地勤人員，到登機後飛機上的客服人員，每一個人臉上都帶著笑容，有問必答，服務態度超級親切，餐點也美味。
2019年,12月,5,CI-220/223是臺北松山-東京羽田之間的航班。成田機場是位在干葉縣成田市，距東京不是很近，但因冠了東京忽悠了很多外國人。羽田機場正式名稱是東京國際空港。去程松山起飛時間是早上9點，所以不趕，回程羽田起飛是早上7點20那就要先計畫好交通。機場有巴士到都內各地不必轉乘。建議住在東京大田區的蒲田車站(有JR蒲田及京急蒲田)附近。兩個車站相距步行約十五分鐘以內。JR蒲田車站周圍酒店很多，有的提供免費機場巴士，?免費巴士也可以在附近找到由蒲田車站到機場的公共巴士。最早的一班是4點半，票價是二倍的五百多日元，所以早上7點2O起飛也沒問題。羽田機場的好處是節省時間和金錢。而蒲田車站附近酒店也不是很貴，更不必?心電車噪音，比起臺灣的噪音是小巫見大巫，況且電車進站時都減速，半夜也沒電車。如果想住好點的那就去品川車站吧
2019年,12月,5,"出發前往新加坡,搭乘CI753及CI754班機,經濟艙位置不會不舒服(本人174公分)餐點好吃,回程機型偏舊,螢幕太小.餐點就比較普通,但空姐空少服務態度都很棒,有機會還是會搭乘~"
2019年,12月,5,飛機新?，內容空間?徜舒適，機上餐點選擇多，於航程中另提供各式點心，飲品。服務人員親切，廁所非常清潔。到達目的地後，會有多位地勤人員，以不同語言指引旅客出境或轉機。非常優質航空公司。
2019年,12月,5,空姐服務很好飛機很乾淨座位也很寬敞，執得推薦。唯獨吉隆坡Lounge 真的不推薦，雖然是華航自營但是空間不大，食物飲料甜點選擇少，建議可以到隔壁的Plaza Premium Lounge。
2019年,12月,5,突如其來的意外，突如其來的意外購買機票，突如其來的意外悠閒，突如其來的意外悠遊，一切的一切都是突然。遇上美好。
2019年,12月,5,"飛機太老舊. 營幕小到不行而且字和光線都不清楚, 明明想看電影, 但完全沒有想看電影的fu, 椅子看起來乾淨, 但是也是太舊了, 稍微動一下就嘰嘰歪歪在叫, 真的很不舒服. 其他像是空姊服務和餐點, 還是有華航的水準, 不過客人付一樣的錢, 如果坐到這樣的舊飛機, 還是很不爽的!"
2019年,12月,5,相當舒適的飛行旅遊，指定餐點都能準確無誤的抵達，非常能夠安心帶著小孩子一起享受旅行中短暫的飛行旅程。
2019年,11月,5,雖然搭到的這台並不是新飛機，設施略嫌老舊，但基本該有的都有了，短程線也就不要求太多。機組人員的服務相當到位，從上機開始一路飽到下飛機。
2019年,11月,5,華航洗手間時時刻刻保持乾淨清潔，這一點很重要。搭過外籍航空真不是乾淨。華航吃的好，睡的好，電影新上檔好看。
2019年,10月,5,"華航商務艙的空服員較資深專業,服務周到,A330商務艙空間大,機上電影多,搭機前有先預訂餐點很滿意,貴賓室牛肉麵很好吃"
2019年,10月,5,空服員的服務專業且親切，地勤人員也很有耐心的輔助乘客使用自助報到，即使是初次搭乘的話也可以很放心，推推！
2019年,09月,5,"從報到就可以感受良好服務態度,登機後亦是，雖因短程航班且起飛因塔台調度延遲,導致用餐時段其實很趕,但空服人員還很細心詢問是否要續咖啡，唯一想提的是機上娛樂,電影畫面有一度中斷,但因短程就沒提出，總結是一趟滿意的航程。"
2019年,09月,5,"搭乘華航CI52從雪梨飛往桃園, 到雪梨機場的前一天, 已經在網路上報到了, 所以直接排網路報到的隊伍, 十分鐘就拿到登機證, 登機後, 又是漂亮的A350新內裝, 覺得回程很舒適"
2019年,09月,5,"搭乘華航CI51從桃園飛往雪梨, 從台北車站自助報到, 但時間很晚, 錯過託運最後時間, 就到桃園機場使用自助報到, 第一次使用覺得很新奇, 飛往雪梨的班機是A350的大班機, 第一次搭乘華航的航班跨洲到澳洲, 覺得內裝很漂亮, 搭起來很舒服"
